Player,Club,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist
Antonio Sivera,Alaves,ESP,GK,21.0,5.0,,,,,,,,,
Rodrigo Ely,Alaves,BRA,DF,24.0,4.8,,,,,,,,,
Adrián Marín,Alaves,ESP,"DF,MF",21.0,4.1,,,,,,,,,
Diego Rolán,Alaves,URU,"MF,FW",25.0,3.3,,,,,,,,,
Patrick Twumasi,Alaves,GHA,"MF,FW",24.0,2.2,,,,,,,,,
Adrián Diéguez,Alaves,ESP,"DF,MF",22.0,2.0,,,,,,,,,
José Ángel,Eibar,ESP,DF,28.0,34.1,,,,,,,,,
Joan Jordán,Eibar,ESP,MF,24.0,33.4,,,,,,,,,
Rubén Peña,Eibar,ESP,DF,27.0,30.4,,,,,,,,,
Fabián Orellana,Eibar,CHI,"MF,FW",32.0,30.4,,,,,,,,,
Sergi Enrich,Eibar,ESP,FW,28.0,28.7,,,,,,,,,
Marc Cucurella,Eibar,ESP,"MF,FW",20.0,28.2,,,,,,,,,
Papakouli Diop,Eibar,SEN,MF,32.0,26.6,,,,,,,,,
Paulo Oliveira,Eibar,POR,DF,26.0,25.6,,,,,,,,,
Marko Dmitrović,Eibar,SRB,GK,26.0,24.0,,,,,,,,,
Anaitz Arbilla,Eibar,ESP,DF,31.0,23.6,,,,,,,,,
Charles,Eibar,BRA,FW,34.0,20.7,,,,,,,,,
Gonzalo Escalante,Eibar,ARG,MF,25.0,19.9,,,,,,,,,
Iván Ramis,Eibar,ESP,DF,33.0,19.0,,,,,,,,,
Pablo de Blasis,Eibar,ARG,"DF,MF",30.0,17.4,,,,,,,,,
Asier Riesgo,Eibar,ESP,GK,34.0,16.0,,,,,,,,,
Kiké,Eibar,ESP,FW,28.0,15.4,,,,,,,,,
Sergio Álvarez,Eibar,ESP,"DF,MF",26.0,13.9,,,,,,,,,
Marc Cardona,Eibar,ESP,"FW,MF",23.0,8.7,,,,,,,,,
Pedro Bigas,Eibar,ESP,DF,27.0,8.5,,,,,,,,,
Pere Milla,Eibar,ESP,"MF,FW",25.0,5.3,,,,,,,,,
Pedro León,Eibar,ESP,"MF,FW",31.0,4.7,,,,,,,,,
Pablo Hervías,Eibar,ESP,MF,25.0,3.5,,,,,,,,,
Miguel Marí,Eibar,ESP,MF,21.0,0.8,,,,,,,,,
