Player,Club,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Abdoulaye Dabo,Nantes,FRA,FW,17.0,1.3,0,0,0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0,3.0,0.0,4.0,0.0
Thomas Basila,Nantes,FRA,DF,19.0,1.0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,3.0,1.0,2.0,33.3
Koffi Djidji,Nantes,CIV,DF,25.0,1.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,3.0,0.0,0.0,
Anthony Walongwa,Nantes,,DF,24.0,1.0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,3.0,4.0,0.0,100.0
Alexandre Olliero,Nantes,FRA,GK,22.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,1.0,0.0,100.0
Baptiste Santamaria,Angers,FRA,MF,23.0,38.4,2,0,0,51.0,51.0,1.0,11.0,57.0,60.0,0.0,0.0,0,240.0,37.0,39.0,48.7
Ludovic Butelle,Angers,FRA,GK,35.0,37.0,1,1,0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0,25.0,7.0,0.0,100.0
Flavien Tait,Angers,FRA,"MF,FW",25.0,33.9,2,0,0,34.0,69.0,4.0,199.0,28.0,35.0,2.0,0.0,0,189.0,12.0,18.0,40.0
Vincent Manceau,Angers,FRA,DF,29.0,33.3,2,0,0,29.0,34.0,0.0,62.0,44.0,65.0,0.0,0.0,1,199.0,18.0,20.0,47.4
Ismaël Traoré,Angers,CIV,DF,31.0,29.7,2,1,0,14.0,5.0,2.0,2.0,42.0,11.0,1.0,1.0,0,146.0,31.0,40.0,43.7
Mateo Pavlović,Angers,BIH,DF,28.0,29.6,7,1,0,28.0,8.0,0.0,0.0,20.0,18.0,0.0,0.0,0,95.0,60.0,42.0,58.8
Jeff Reine-Adélaïde,Angers,FRA,"FW,MF",20.0,29.3,2,0,0,31.0,69.0,3.0,19.0,19.0,22.0,1.0,0.0,0,148.0,17.0,27.0,38.6
Abdoulaye Bamba,Angers,CIV,DF,28.0,28.6,6,0,0,21.0,22.0,2.0,70.0,37.0,29.0,0.0,0.0,0,139.0,22.0,28.0,44.0
