Player,Club,Nation,Pos,Age,Minutes,Fouls,Interceptions,Clearances,Errors,Blocked passes and shots,Tackles in defensive 1/3,Tackles in middle 1/3,Tackles in attacking 1/3,Progressive Carrying Distance,Assists,Red cards,Yellow cards,% of tackles won
Javi Galán,Huesca,ESP,DF,23,1440,30.585106382978722,20.74468085106383,35.1063829787234,66.48936170212765,62.89893617021277,96.94148936170212,96.94148936170212,56.51595744680851,55.18617021276596,84.70744680851064,0.0,94.0159574468085,39.09574468085106
Carlos Akapo,Huesca,EQG,DF,25,1023,68.21808510638297,71.94148936170212,32.71276595744681,0.0,33.77659574468085,80.71808510638297,66.0904255319149,67.2872340425532,49.069148936170215,0.0,0.0,46.01063829787234,17.819148936170212
Pablo Insua,Huesca,ESP,DF,24,776,95.61170212765957,50.66489361702128,66.75531914893617,0.0,0.13297872340425532,82.7127659574468,87.7659574468085,0.0,3.1914893617021276,0.0,0.0,95.34574468085107,44.9468085106383
Rúben Semedo,Huesca,POR,DF,24,850,58.77659574468085,56.11702127659575,46.808510638297875,97.3404255319149,79.25531914893617,74.06914893617021,58.6436170212766,0.0,6.648936170212766,0.0,0.0,93.08510638297872,85.50531914893617
Adrián Diéguez,Huesca,ESP,DF,22,749,43.88297872340425,37.36702127659575,82.97872340425532,86.96808510638297,35.505319148936174,61.96808510638297,38.56382978723404,55.319148936170215,2.393617021276596,0.0,0.0,88.16489361702128,33.37765957446808
Martín Mantovani,Huesca,ARG,DF,34,701,77.3936170212766,93.75,91.0904255319149,0.0,2.127659574468085,78.05851063829788,27.79255319148936,0.0,0.5319148936170213,0.0,0.0,71.1436170212766,24.601063829787233
Luisinho,Huesca,POR,DF,33,507,68.88297872340425,94.0159574468085,28.45744680851064,0.0,33.909574468085104,81.38297872340425,80.18617021276596,0.0,47.87234042553192,0.0,0.0,99.46808510638297,65.82446808510637
Álex Moreno,Rayo Vallecano,ESP,DF,25,3136,50.53191489361703,20.212765957446805,23.27127659574468,0.0,27.925531914893615,52.3936170212766,43.21808510638298,53.98936170212766,76.4627659574468,50.0,0.0,35.23936170212766,37.36702127659575
Jordi Amat,Rayo Vallecano,IDN,DF,26,2763,76.4627659574468,34.57446808510639,60.23936170212766,51.196808510638306,28.45744680851064,44.680851063829785,56.51595744680851,28.723404255319153,53.72340425531915,0.0,0.0,78.45744680851064,18.882978723404257
Luis Advíncula,Rayo Vallecano,PER,DF,28,2389,89.09574468085107,3.856382978723404,10.904255319148938,54.12234042553191,13.430851063829788,70.61170212765957,35.77127659574468,42.819148936170215,34.840425531914896,81.91489361702128,95.07978723404256,62.5,76.06382978723404
Abdoulaye Ba,Rayo Vallecano,SEN,DF,27,2110,42.02127659574468,28.45744680851064,96.94148936170212,94.41489361702128,62.10106382978723,80.31914893617021,24.20212765957447,32.180851063829785,18.085106382978726,0.0,96.01063829787235,44.28191489361702,80.18617021276596
Álex Gálvez,Rayo Vallecano,ESP,DF,29,1412,68.08510638297872,94.54787234042553,62.23404255319149,67.15425531914893,1.3297872340425532,81.25,76.32978723404256,0.0,25.0,0.0,0.0,90.82446808510637,73.5372340425532
Emiliano Velázquez,Rayo Vallecano,URU,DF,24,1277,95.07978723404256,97.87234042553192,98.67021276595744,70.61170212765957,94.41489361702128,98.93617021276596,58.51063829787234,59.97340425531915,9.707446808510637,87.36702127659575,0.0,98.13829787234043,73.00531914893617
Tito,Rayo Vallecano,ESP,DF,33,1098,3.723404255319149,33.909574468085104,38.03191489361702,0.0,88.82978723404256,34.441489361702125,5.452127659574469,0.0,19.01595744680851,0.0,0.0,42.42021276595745,40.02659574468085
Alex Sandro,Juventus,BRA,DF,27,2387,97.47340425531915,66.75531914893617,39.09574468085106,0.0,78.8563829787234,76.06382978723404,95.74468085106383,90.29255319148936,94.41489361702128,71.54255319148936,0.0,72.47340425531915,53.8563829787234
Leonardo Bonucci,Juventus,ITA,DF,31,2472,15.159574468085108,69.81382978723404,57.71276595744681,84.04255319148936,77.12765957446808,5.452127659574469,17.154255319148938,42.02127659574468,83.6436170212766,0.0,0.0,13.430851063829788,14.095744680851062
Giorgio Chiellini,Juventus,ITA,DF,33,1991,23.27127659574468,68.4840425531915,88.16489361702128,78.5904255319149,61.702127659574465,55.98404255319149,3.856382978723404,47.340425531914896,85.1063829787234,61.03723404255319,0.0,32.047872340425535,23.27127659574468
João Cancelo,Juventus,POR,DF,24,1968,88.16489361702128,10.638297872340425,22.340425531914892,0.0,10.372340425531915,52.92553191489362,91.22340425531915,88.6968085106383,98.13829787234043,86.56914893617021,0.0,73.67021276595744,74.7340425531915
