Player,Club,Nation,Pos,Age,Minutes,Goals without penalties,Assists,Expected goals,Expected assists,Progressive runs,Shot creating actions,Crosses into penalty area,Successful Take-ons,Goals per shots on target,Shots on target %,Shots,Aerial duels won
Niclas Füllkrug,Hannover 96,GER,FW,25,1112,13.276231263383298,37.25910064239829,49.67880085653105,20.770877944325484,68.3083511777302,46.680942184154176,26.33832976445396,5.567451820128479,5.995717344753747,38.54389721627409,77.51605995717344,79.01498929336188
Bobby Wood,Hannover 96,USA,FW,25,1182,45.396145610278374,35.974304068522486,20.985010706638114,54.603854389721626,46.466809421841546,8.137044967880087,44.96788008565311,5.567451820128479,64.02569593147751,58.45824411134903,8.137044967880087,64.88222698072805
Jonathas,Hannover 96,BRA,FW,29,607,56.74518201284796,62.098501070663815,56.9593147751606,2.141327623126338,10.06423982869379,1.9271948608137044,0.0,33.190578158458244,71.5203426124197,67.02355460385438,16.916488222698074,28.051391862955033
Mikael Ishak,Nurnberg,SWE,FW,25,1917,34.68950749464668,58.886509635974306,27.194860813704498,34.475374732334046,7.708779443254818,31.69164882226981,56.102783725910065,93.14775160599572,64.02569593147751,42.82655246252677,21.627408993576015,23.98286937901499
Yuya Kubo,Nurnberg,JPN,FW,24,1357,11.134903640256958,0.0,14.346895074946467,11.777301927194861,31.69164882226981,45.182012847965744,44.96788008565311,23.768736616702355,6.423982869379015,58.45824411134903,22.269807280513916,30.83511777301927
Adam Zreľák,Nurnberg,SVK,FW,24,941,35.54603854389722,42.82655246252677,60.38543897216274,12.84796573875803,9.421841541755889,2.569593147751606,0.0,0.8565310492505354,64.02569593147751,37.901498929336185,20.770877944325484,47.32334047109208
Törles Knöll,Nurnberg,GER,FW,20,370,47.75160599571734,0.0,34.26124197002141,3.854389721627409,4.925053533190578,4.710920770877944,26.33832976445396,82.01284796573876,50.32119914346895,19.05781584582441,25.053533190578158,80.72805139186295
Luis Suárez,Barcelona,URU,FW,31,2827,91.43468950749465,71.94860813704497,98.07280513918629,83.5117773019272,80.29978586723769,83.5117773019272,72.59100642398288,22.483940042826553,40.471092077087796,73.87580299785867,90.36402569593149,93.14775160599572
Lionel Messi,Barcelona,ARG,FW,31,2713,99.3576017130621,98.07280513918629,99.14346895074947,99.78586723768737,43.0406852248394,99.78586723768737,44.96788008565311,77.51605995717344,64.02569593147751,86.0813704496788,99.57173447537473,48.17987152034261
Philippe Coutinho,Barcelona,BRA,FW,26,2018,43.683083511777305,40.899357601713064,54.389721627408996,66.80942184154176,86.50963597430406,84.79657387580299,44.96788008565311,69.37901498929337,14.989293361884368,77.08779443254818,82.44111349036403,16.059957173447536
Ousmane Dembélé,Barcelona,FRA,FW,21,1661,80.08565310492506,88.6509635974304,26.33832976445396,91.86295503211991,96.78800856531049,95.50321199143468,89.07922912205566,79.22912205567452,76.65952890792292,86.0813704496788,55.88865096359743,80.08565310492506
Malcom,Barcelona,BRA,FW,21,614,25.910064239828696,92.29122055674517,25.910064239828696,88.43683083511777,99.14346895074947,49.03640256959314,26.33832976445396,92.71948608137045,71.5203426124197,80.94218415417559,19.700214132762312,14.5610278372591
Antoine Griezmann,Atletico Madrid,FRA,FW,27,3198,64.66809421841542,80.29978586723769,67.45182012847965,82.86937901498929,41.54175588865097,76.87366167023555,77.08779443254818,29.764453961456105,50.32119914346895,62.526766595289075,77.30192719486081,55.46038543897216
Diego Costa,Atletico Madrid,ESP,FW,29,1112,28.26552462526767,64.66809421841542,11.134903640256958,20.770877944325484,55.0321199143469,5.995717344753747,0.0,38.11563169164882,64.02569593147751,96.78800856531049,5.995717344753747,34.90364025695932
Nikola Kalinić,Atletico Madrid,CRO,FW,30,642,52.890792291220556,0.0,36.61670235546038,4.925053533190578,26.76659528907923,1.9271948608137044,0.0,0.0,87.36616702355461,78.15845824411134,9.635974304068522,74.51820128479658
Karim Benzema,Real Madrid,FRA,FW,30,2953,92.07708779443254,70.2355460385439,91.22055674518201,71.30620985010707,68.73661670235546,74.30406852248393,67.6659528907923,81.5845824411135,80.51391862955032,74.7323340471092,80.29978586723769,67.45182012847965
Gareth Bale,Real Madrid,WAL,FW,29,1786,68.3083511777302,63.38329764453962,80.72805139186295,58.2441113490364,87.36616702355461,52.67665952890792,90.79229122055675,68.95074946466809,28.90792291220557,73.23340471092077,93.14775160599572,92.50535331905782
Marco Asensio,Real Madrid,ESP,FW,22,1779,9.850107066381156,74.51820128479658,26.552462526766597,89.50749464668094,92.93361884368309,77.94432548179871,96.57387580299786,93.79014989293361,19.05781584582441,65.0963597430407,75.58886509635975,18.41541755888651
Lucas Vázquez,Real Madrid,ESP,FW,27,1510,10.278372591006423,69.16488222698072,13.49036402569593,93.57601713062098,96.57387580299786,68.3083511777302,96.1456102783726,59.95717344753747,35.76017130620985,85.4389721627409,8.137044967880087,15.203426124197003
Vinicius Júnior,Real Madrid,BRA,FW,18,869,38.75802997858672,0.0,62.95503211991434,62.31263383297645,99.3576017130621,94.21841541755889,72.59100642398288,72.1627408993576,8.993576017130621,36.61670235546038,97.85867237687366,16.059957173447536
Brahim Díaz,Real Madrid,MAR,FW,18,376,46.895074946466806,82.65524625267666,45.396145610278374,98.7152034261242,93.36188436830835,96.57387580299786,0.0,44.96788008565311,14.989293361884368,99.78586723768737,19.05781584582441,0.0
Mariano,Real Madrid,DOM,FW,24,447,94.86081370449678,0.0,89.72162740899357,77.94432548179871,49.67880085653105,34.04710920770878,0.0,44.96788008565311,71.5203426124197,17.558886509635975,98.7152034261242,81.37044967880087
Rodrigo,Valencia,ESP,FW,27,2528,53.96145610278372,77.30192719486081,86.0813704496788,61.45610278372591,60.17130620985011,66.59528907922912,56.102783725910065,49.67880085653105,57.601713062098504,58.45824411134903,61.45610278372591,56.9593147751606
Santi Mina,Valencia,ESP,FW,22,1852,64.88222698072805,83.72591006423983,68.09421841541756,73.23340471092077,36.402569593147746,9.421841541755889,56.102783725910065,24.411134903640257,58.2441113490364,95.50321199143468,44.11134903640257,45.610278372591004
Kévin Gameiro,Valencia,FRA,FW,31,1612,64.02569593147751,28.26552462526767,86.29550321199143,79.87152034261243,61.88436830835118,58.02997858672377,0.0,35.11777301927195,85.4389721627409,73.23340471092077,24.411134903640257,9.850107066381156
Jorge Molina,Getafe,ESP,FW,36,2648,76.65952890792292,67.02355460385438,67.23768736616702,84.58244111349036,38.75802997858672,58.02997858672377,44.96788008565311,44.96788008565311,95.07494646680942,52.67665952890792,26.98072805139186,41.7558886509636
Jaime Mata,Getafe,ESP,FW,29,2432,71.30620985010707,79.65738758029978,80.94218415417559,30.406852248394006,63.16916488222698,7.28051391862955,56.102783725910065,12.419700214132762,84.58244111349036,54.81798715203426,28.051391862955033,76.87366167023555
Ángel Rodríguez,Getafe,ESP,FW,31,1819,74.94646680942184,62.31263383297645,69.16488222698072,72.59100642398288,44.11134903640257,28.26552462526767,82.22698072805139,25.053533190578158,62.95503211991434,45.610278372591004,89.29336188436831,21.413276231263385
Wissam Ben Yedder,Sevilla,FRA,FW,27,2812,89.29336188436831,91.22055674518201,93.57601713062098,86.7237687366167,64.88222698072805,55.88865096359743,56.102783725910065,74.30406852248393,87.36616702355461,89.93576017130621,53.319057815845824,23.768736616702355
André Silva,Sevilla,POR,FW,22,2159,71.94860813704497,0.0,75.16059957173448,70.2355460385439,64.02569593147751,59.100642398286936,56.102783725910065,16.274089935760173,58.2441113490364,50.96359743040685,63.38329764453962,56.9593147751606
Quincy Promes,Sevilla,NED,FW,26,1583,18.201284796573873,67.23768736616702,16.059957173447536,90.36402569593149,65.73875802997858,69.80728051391864,92.71948608137045,76.23126338329764,28.90792291220557,5.781584582441114,17.558886509635975,72.37687366167023
Borja Iglesias,Espanyol,ESP,FW,25,3075,77.08779443254818,40.25695931477516,82.44111349036403,46.680942184154176,51.82012847965739,34.04710920770878,26.33832976445396,32.33404710920771,68.95074946466809,65.0963597430407,58.45824411134903,67.23768736616702
Sergio García,Espanyol,ESP,FW,35,1486,20.342612419700217,30.406852248394006,23.554603854389722,55.46038543897216,77.94432548179871,76.44539614561027,72.59100642398288,30.620985010706637,17.34475374732334,22.698072805139187,28.051391862955033,46.03854389721627
Léo Baptistão,Espanyol,BRA,FW,25,1233,12.419700214132762,61.02783725910065,61.45610278372591,36.402569593147746,48.17987152034261,56.3169164882227,0.0,88.43683083511777,7.494646680942184,64.02569593147751,79.87152034261243,58.02997858672377
Wu Lei,Espanyol,CHN,FW,26,1061,49.892933618843685,38.97216274089936,75.80299785867237,50.32119914346895,43.683083511777305,17.77301927194861,56.102783725910065,44.96788008565311,64.02569593147751,9.850107066381156,61.45610278372591,34.90364025695932
Hernán Pérez,Espanyol,PAR,FW,29,795,17.987152034261243,80.51391862955032,10.06423982869379,84.79657387580299,83.5117773019272,61.02783725910065,72.59100642398288,44.96788008565311,40.471092077087796,75.58886509635975,12.205567451820128,83.72591006423983
Pablo Piatti,Espanyol,ARG,FW,29,743,20.342612419700217,0.0,17.34475374732334,68.3083511777302,59.743040685224834,77.94432548179871,56.102783725910065,52.890792291220556,8.137044967880087,45.610278372591004,23.98286937901499,40.471092077087796
Javi Puado,Espanyol,ESP,FW,20,359,0.0,0.0,29.978586723768736,49.67880085653105,73.23340471092077,51.17773019271949,26.33832976445396,76.44539614561027,20.342612419700217,27.40899357601713,41.54175588865097,83.72591006423983
Iñaki Williams,Athletic Club,GHA,FW,24,3025,73.87580299785867,49.67880085653105,66.80942184154176,33.83297644539615,54.389721627408996,26.98072805139186,72.59100642398288,65.73875802997858,76.65952890792292,82.44111349036403,40.25695931477516,74.30406852248393
Markel Susaeta,Athletic Club,ESP,FW,30,1379,10.920770877944326,54.81798715203426,0.8565310492505354,80.94218415417559,47.75160599571734,87.15203426124198,89.07922912205566,30.620985010706637,10.920770877944326,44.75374732334047,2.141327623126338,8.779443254817988
