Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes
53,Sadio Mané,Liverpool,0.29,,Off Target,13.0,Left Foot,
57,Xherdan Shaqiri,Liverpool,0.04,,Blocked,24.0,Right Foot,
59,Sadio Mané,Liverpool,0.04,,Off Target,23.0,Right Foot,
81,Roberto Firmino,Liverpool,0.07,,Off Target,15.0,Left Foot,
87,Divock Origi,Liverpool,0.48,,Woodwork,3.0,Right Foot,Volley
87,Virgil van Dijk,Liverpool,0.08,,Off Target,9.0,Head,
87,Daniel Sturridge,Liverpool,0.03,,Blocked,20.0,Left Foot,Volley
90,Naby Keïta,Liverpool,0.04,,Off Target,22.0,Right Foot,
90,Virgil van Dijk,Liverpool,0.03,,Saved off Target,22.0,Right Foot,Volley
90,Divock Origi,Liverpool,0.88,0.99,Goal,2.0,Head,
29,Virgil van Dijk,Liverpool,0.05,0.07,Saved,12.0,Head,
35,Naby Keïta,Liverpool,0.06,,Blocked,15.0,Right Foot,
38,James Milner,Liverpool,0.08,,Blocked,15.0,Right Foot,
39,Naby Keïta,Liverpool,0.06,0.08,Saved,15.0,Right Foot,Deflected
,,,,,,,,
47,Daniel Sturridge,Liverpool,0.03,0.19,Saved,26.0,Left Foot,
52,Virgil van Dijk,Liverpool,0.09,,Blocked,8.0,Head,
52,Naby Keïta,Liverpool,0.03,0.53,Saved,29.0,Left Foot,
52,Virgil van Dijk,Liverpool,0.07,,Off Target,10.0,Head,
58,Trent Alexander-Arnold,Liverpool,0.06,0.23,Saved,9.0,Right Foot,Volley
62,James Milner,Liverpool,0.06,0.52,Goal,25.0,Right Foot,
69,Roberto Firmino,Liverpool,0.84,0.96,Goal,2.0,Right Foot,
82,Naby Keïta,Liverpool,0.03,0.05,Saved,25.0,Left Foot,
82,Mohamed Salah,Liverpool,0.09,0.11,Saved,6.0,Right Foot,
82,Naby Keïta,Liverpool,0.12,,Blocked,10.0,Right Foot,
82,Jordan Henderson,Liverpool,0.03,,Off Target,23.0,Right Foot,
82,Naby Keïta,Liverpool,0.17,,Blocked,8.0,Right Foot,
86,Mohamed Salah,Liverpool,0.09,0.11,Saved,14.0,Right Foot,
90,Xherdan Shaqiri,Liverpool,0.48,0.96,Goal,15.0,Left Foot,
13,Xherdan Shaqiri,Liverpool,0.09,,Blocked,26.0,Left Foot,Free kick
14,Mohamed Salah,Liverpool,0.09,,Off Target,8.0,Right Foot,
19,Fabinho,Liverpool,0.03,,Off Target,29.0,Right Foot,
20,Naby Keïta,Liverpool,0.05,,Blocked,16.0,Left Foot,Volley
25,Roberto Firmino,Liverpool,0.03,0.04,Saved,31.0,Left Foot,Volley
25,Mohamed Salah,Liverpool,0.37,0.44,Goal,11.0,Left Foot,
,,,,,,,,
48,Mohamed Salah,Liverpool,0.13,0.73,Goal,15.0,Left Foot,Deflected
77,Mohamed Salah,Liverpool,0.72,0.97,Goal,6.0,Left Foot,
85,James Milner,Liverpool,0.03,,Off Target,27.0,Right Foot,
86,Georginio Wijnaldum,Liverpool,0.05,,Off Target,11.0,Head,
9,James Milner,Liverpool,0.06,,Off Target,9.0,Head,
16,Roberto Firmino,Liverpool,0.03,,Blocked,28.0,Left Foot,
18,Jordan Henderson,Liverpool,0.03,,Off Target,23.0,Left Foot,Volley
26,Roberto Firmino,Liverpool,0.1,,Blocked,15.0,Left Foot,
