Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Joe Gomez,12,ENG,RB,21-329,25,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,1,0,14,20,70.0,0,17,0,1,1
Alisson,13,BRA,GK,26-197,90,0,0,0,0,0,0,0,0,51,0,0,0,0.0,0.0,0.0,0,0,36,51,70.6,0,33,0,0,0
Georginio Wijnaldum,5,NED,FW,28-171,77,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.1,1,0,18,23,78.3,2,23,1,0,0
Roberto Firmino,9,BRA,"AM,FW",27-211,13,0,0,0,0,1,0,0,0,7,0,0,0,0.1,0.1,0.1,2,0,5,6,83.3,0,4,0,0,0
Sadio Mané,10,SEN,"LW,RW",27-021,90,0,0,0,0,4,0,0,0,36,0,0,0,0.6,0.6,0.0,2,0,18,24,75.0,3,26,4,4,1
Mohamed Salah,11,EGY,"RW,FW",26-320,90,0,0,0,0,4,1,0,0,52,1,0,0,0.7,0.7,0.3,6,0,26,40,65.0,2,32,7,8,7
Naby Keïta,8,GUI,LM,24-080,23,0,0,0,0,0,0,0,0,18,0,1,1,0.0,0.0,0.0,0,0,15,17,88.2,1,13,1,0,0
Jordan Henderson,14,ENG,"RM,DM",28-318,67,0,0,0,0,2,0,0,0,53,1,1,1,0.1,0.1,0.5,4,0,32,43,74.4,7,24,3,0,0
Fabinho,3,BRA,"CM,DM",25-190,90,0,0,0,0,0,0,1,0,71,2,3,0,0.0,0.0,0.0,1,0,53,63,84.1,11,39,0,0,0
James Milner,7,ENG,"LM,RM",33-117,84,0,0,0,0,3,2,0,0,80,2,1,2,0.4,0.4,0.1,3,0,57,70,81.4,11,41,1,1,0
Divock Origi,27,BEL,LW,24-013,6,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,5,5,100.0,0,4,1,0,0
Andrew Robertson,26,SCO,LB,25-051,90,0,0,0,0,0,0,0,0,84,4,0,4,0.0,0.0,0.0,2,0,59,73,80.8,5,42,4,1,1
Virgil van Dijk,4,NED,CB,27-297,90,0,0,0,0,0,0,0,0,50,2,2,2,0.0,0.0,0.0,1,0,41,44,93.2,1,27,0,0,0
Joël Matip,32,CMR,CB,27-266,90,0,0,0,0,0,0,0,0,78,3,1,1,0.0,0.0,0.0,3,0,59,69,85.5,2,35,2,0,0
Joe Gomez,12,ENG,RB,21-343,90,0,0,0,0,1,0,0,0,79,2,2,1,0.0,0.0,0.1,1,0,49,68,72.1,7,37,3,0,0
Alisson,13,BRA,GK,26-211,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,0,0,46,47,97.9,0,28,0,0,0
Divock Origi,27,BEL,FW,24-019,84,2,0,0,0,2,2,0,0,24,0,0,0,0.8,0.8,0.0,1,0,11,17,64.7,1,15,1,3,3
Joe Gomez,12,ENG,"LB,FW",21-349,6,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Sadio Mané,10,SEN,"LW,RW,FW",27-027,90,0,0,0,0,0,0,0,0,35,1,0,0,0.0,0.0,0.5,3,0,15,22,68.2,1,26,5,6,4
Xherdan Shaqiri,23,SUI,RW,27-209,89,0,1,0,0,2,0,0,0,52,0,0,3,0.3,0.3,0.1,2,1,29,43,67.4,2,31,7,0,0
Daniel Sturridge,15,ENG,FW,29-248,1,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0,0,1,1,100.0,1,1,0,0,0
James Milner,7,ENG,"LM,LB",33-123,90,0,0,0,0,0,0,0,0,67,1,0,1,0.0,0.0,0.3,4,1,50,61,82.0,8,31,2,0,0
Fabinho,3,BRA,CM,25-196,90,0,0,0,0,0,0,1,0,60,4,1,1,0.0,0.0,0.0,1,0,43,48,89.6,8,30,0,0,0
Jordan Henderson,14,ENG,RM,28-324,90,0,0,0,0,2,1,0,0,56,4,0,3,0.5,0.5,0.0,3,1,32,43,74.4,5,21,2,2,1
Andrew Robertson,26,SCO,LB,25-057,45,0,0,0,0,2,1,0,0,34,1,1,0,0.1,0.1,0.1,2,0,18,27,66.7,4,18,1,0,0
Georginio Wijnaldum,5,NED,"LM,LW",28-177,45,2,0,0,0,2,2,0,0,20,1,0,0,0.1,0.1,0.0,0,0,14,15,93.3,4,13,0,2,2
Virgil van Dijk,4,NED,CB,27-303,90,0,0,0,0,1,1,0,0,55,2,2,0,0.6,0.6,0.0,1,0,36,46,78.3,6,24,0,0,0
